ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta,Inversión,Tasa pobreza,Médicos especialistas
7,Castilla y León,2013,27507.0,434.0,8083.0,124.0,1060.0,1042.0,1382.0,8290.0,3079.0,1350.0,117.0,313.0,726.0,1.0,35.0,43.0,457.0,971.0,2506000,20550,1289.143405720704,17.5,1.8
8,Castilla La Mancha,2013,18228.0,201.0,4889.0,74.0,730.0,747.0,979.0,5424.0,2181.0,929.0,85.0,187.0,580.0,0.0,30.0,35.0,352.0,805.0,2083000,17351,1166.5251686635736,31.3,1.72
9,Cataluña,2013,60807.0,1054.0,17479.0,351.0,1858.0,3756.0,4273.0,17026.0,6126.0,2973.0,121.0,383.0,1610.0,4.0,92.0,127.0,912.0,2662.0,7443000,25795,1108.3917523970454,13.9,1.76
10,Valencia,2013,40519.0,595.0,11440.0,200.0,1349.0,1848.0,2516.0,12690.0,4088.0,1942.0,146.0,328.0,1327.0,2.0,53.0,78.0,622.0,1295.0,4967000,18987,995.3858759256036,23.6,1.64
11,Extremadura,2013,11043.0,169.0,3225.0,35.0,264.0,287.0,499.0,3421.0,1391.0,556.0,26.0,122.0,381.0,0.0,11.0,16.0,361.0,279.0,1098000,15532,1190.775784142452,30.9,1.72
12,Galicia,2013,30433.0,375.0,8442.0,145.0,485.0,1781.0,1288.0,10264.0,3228.0,1480.0,149.0,152.0,978.0,0.0,26.0,36.0,483.0,1121.0,2753000,19586,1238.015944566068,17.2,1.76
13,Madrid,2013,42393.0,763.0,12890.0,125.0,913.0,1204.0,1940.0,11149.0,6035.0,1994.0,106.0,257.0,1387.0,1.0,128.0,72.0,2112.0,1317.0,6392000,30131,1108.6259225747363,13.4,1.94
14,Murcia,2013,10115.0,172.0,2731.0,45.0,385.0,316.0,533.0,3106.0,1252.0,493.0,37.0,75.0,455.0,0.0,39.0,34.0,100.0,342.0,1461000,18181,1071.830584537346,26.8,1.75
15,Navarra,2013,5323.0,66.0,1587.0,22.0,127.0,208.0,384.0,1572.0,552.0,280.0,23.0,72.0,140.0,0.0,6.0,15.0,45.0,224.0,637000,27060,1340.6326237762241,9.9,2.34
16,Euskadi,2013,19720.0,312.0,6142.0,73.0,640.0,1096.0,1223.0,5419.0,1875.0,942.0,59.0,221.0,402.0,0.0,27.0,45.0,499.0,745.0,2170000,28387,1607.179377734944,10.5,2.22
